№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
85,Затвор дисковый на котлы №1-5,F0EKG10AA002,Превышение момента на закрытие,F0EKG10AA002XB05,потенциальный контакт,"220В, 50Гц",ДУ,
86,Затвор дисковый на котлы №1-5,F0EKG10AA002,Автоматический выключатель отключен,F0EKG10AA002XM01,сухой контакт,"220В, 50Гц",ПС,
87,Затвор дисковый на котлы №6-8,F0EKG10AA003,Не открыто,F0EKG10AA003XB51,потенциальный контакт,"220В, 50Гц",ДУ,
88,Затвор дисковый на котлы №6-8,F0EKG10AA003,Не закрыто,F0EKG10AA003XB52,потенциальный контакт,"220В, 50Гц",ДУ,
89,Затвор дисковый на котлы №6-8,F0EKG10AA003,Превышение момента на открытие,F0EKG10AA003XB04,потенциальный контакт,"220В, 50Гц",ДУ,
90,Затвор дисковый на котлы №6-8,F0EKG10AA003,Превышение момента на закрытие,F0EKG10AA003XB05,потенциальный контакт,"220В, 50Гц",ДУ,
91,Затвор дисковый на котлы №6-8,F0EKG10AA003,Автоматический выключатель отключен,F0EKG10AA003XM01,сухой контакт,"220В, 50Гц",ПС,
92,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Не открыто,F1HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
93,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Не закрыто,F1HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
94,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Неисправность,F1HHG20AA801XC03,потенциальный контакт,=24В,ПС,
95,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Готовность,F1HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
96,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Не открыто,F1HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
