№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
191,Регулятор давления газа,E2EKA02AA801,Меньше,E2EKA02AA801YC02,сухой контакт,=24В,"АР,ДУ",
192,Задвижка ГК-3,F0EKG10AA001,Открыть,F0EKG10AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
193,Задвижка ГК-3,F0EKG10AA001,Закрыть,F0EKG10AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
194,Задвижка ГК-3,F0EKG10AA001,Стоп,F0EKG10AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
195,Затвор дисковый на котлы №1-5,F0EKG10AA002,Открыть,F0EKG10AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
196,Затвор дисковый на котлы №1-5,F0EKG10AA002,Закрыть,F0EKG10AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
197,Затвор дисковый на котлы №1-5,F0EKG10AA002,Стоп,F0EKG10AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
198,Затвор дисковый на котлы №6-8,F0EKG10AA003,Открыть,F0EKG10AA003YB01,сухой контакт,"220В, 50Гц",ДУ,
199,Затвор дисковый на котлы №6-8,F0EKG10AA003,Закрыть,F0EKG10AA003YB02,сухой контакт,"220В, 50Гц",ДУ,
200,Затвор дисковый на котлы №6-8,F0EKG10AA003,Стоп,F0EKG10AA003YB03,сухой контакт,"220В, 50Гц",ДУ,
201,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Больше,F1HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
202,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Меньше,F1HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
203,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Открыть,F1HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
204,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Закрыть,F1HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
205,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Стоп,F1HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
206,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Больше,F2HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
207,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Меньше,F2HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
208,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Открыть,F2HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
209,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Закрыть,F2HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
210,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Стоп,F2HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
211,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Больше,F3HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
212,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Меньше,F3HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
213,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Открыть,F3HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
214,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Закрыть,F3HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
215,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Стоп,F3HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
216,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Больше,F4HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
217,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Меньше,F4HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
218,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Открыть,F4HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
219,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Закрыть,F4HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
220,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Стоп,F4HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
221,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Больше,F5HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
222,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Меньше,F5HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
223,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Открыть,F5HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
224,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Закрыть,F5HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
225,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Стоп,F5HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
226,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Больше,F6HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
227,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Меньше,F6HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
228,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Открыть,F6HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
229,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Закрыть,F6HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
230,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Стоп,F6HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
231,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Больше,F7HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
232,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Меньше,F7HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
233,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Открыть,F7HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
234,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Закрыть,F7HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
235,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Стоп,F7HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
236,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Больше,F8HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
237,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Меньше,F8HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
238,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Открыть,F8HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
239,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Закрыть,F8HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
240,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Стоп,F8HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
241,,E2EKA01AA001,дистанционный режим работы,"E2EKA01AA001XL01, E2EKA01AA001XL02, E2EKA01AA001XL013",потенциальный контакт,"220В, 50Гц",ДУ,
242,Дисковый затвор ГК-1,E1EKG12AA001,дистанционный режим работы,"E1EKG12AA001XL01, E1EKG12AA001XL02, E1EKG12AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
243,Дисковый затвор ГК-2,E2EKG12AA001,дистанционный режим работы,"E2EKG12AA001XL01, E2EKG12AA001XL02, E2EKG12AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
244,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,дистанционный режим работы,"E2EKD01AA001XL01, E2EKD01AA001XL02, E2EKD01AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
245,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,дистанционный режим работы,"E2EKD01AA002XL01, E2EKD01AA002XL02, E2EKD01AA002XL03",потенциальный контакт,"220В, 50Гц",ДУ,
246,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,дистанционный режим работы,"E2EKD02AA001XL01, E2EKD02AA001XL02, E2EKD02AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
247,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,дистанционный режим работы,"E2EKD02AA002XL01, E2EKD02AA002XL02, E2EKD02AA002XL03",потенциальный контакт,"220В, 50Гц",ДУ,
248,Задвижка 2-17Г на байпасе,E2EKG02AA001,дистанционный режим работы,"E2EKG02AA001XL01, E2EKG02AA001XL02, E2EKG02AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
249,Задвижка 2-19Г на выходе,E2EKG11AA001,дистанционный режим работы,"E2EKG11AA001XL01, E2EKG11AA001XL02, E2EKG11AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
250,Задвижка 2-Г,E1EKA01AA001,дистанционный режим работы,"E1EKA01AA001XL01, E1EKA01AA001XL02, E1EKA01AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
251,Задвижка 3-Г,E1EKG11AA001,дистанционный режим работы,"E1EKG11AA001XL01, E1EKG11AA001XL02, E1EKG11AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
252,Задвижка 4-ГД,E2EKG11AA002,дистанционный режим работы,"E2EKG11AA002XL01, E2EKG11AA002XL02, E2EKG11AA002XL03",потенциальный контакт,"220В, 50Гц",ДУ,
253,Задвижка ГК-3,F0EKG10AA001,дистанционный режим работы,"F0EKG10AA001XL01, F0EKG10AA001XL02, F0EKG10AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
254,Затвор дисковый на котлы №1-5,F0EKG10AA002,дистанционный режим работы,"F0EKG10AA002XL01, F0EKG10AA002XL02, F0EKG10AA002XL03",потенциальный контакт,"220В, 50Гц",ДУ,
255,Затвор дисковый на котлы №6-8,F0EKG10AA003,дистанционный режим работы,"F0EKG10AA003XL01, F0EKG10AA003XL02, F0EKG10AA003XL03",потенциальный контакт,"220В, 50Гц",ДУ,
256,Затвор продувной свечи котла ст.№1,F1HHG20AA201,дистанционный режим работы,"F1HHG20AA201XL01, F1HHG20AA201XL02, F1HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
257,Затвор продувной свечи котла ст.№2,F2HHG20AA201,дистанционный режим работы,"F2HHG20AA201XL01, F2HHG20AA201XL02, F2HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
258,Затвор продувной свечи котла ст.№3,F3HHG20AA201,дистанционный режим работы,"F3HHG20AA201XL01, F3HHG20AA201XL02, F3HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
259,Затвор продувной свечи котла ст.№4,F4HHG20AA201,дистанционный режим работы,"F4HHG20AA201XL01, F4HHG20AA201XL02, F4HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
260,Затвор продувной свечи котла ст.№5,F5HHG20AA201,дистанционный режим работы,"F5HHG20AA201XL01, F5HHG20AA201XL02, F5HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
261,Затвор продувной свечи котла ст.№6,F6HHG20AA201,дистанционный режим работы,"F6HHG20AA201XL01, F6HHG20AA201XL02, F6HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
262,Затвор продувной свечи котла ст.№7,F7HHG20AA201,дистанционный режим работы,"F7HHG20AA201XL01, F7HHG20AA201XL02, F7HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
263,Затвор продувной свечи котла ст.№8,F8HHG20AA201,дистанционный режим работы,"F8HHG20AA201XL01, F8HHG20AA201XL02, F8HHG20AA201XL03",потенциальный контакт,"220В, 50Гц",ДУ,
264,Затвор со стороны,E2EKA02AA001,дистанционный режим работы,"E2EKA02AA001XL01, E2EKA02AA001XL02, E2EKA02AA001XL03",потенциальный контакт,"220В, 50Гц",ДУ,
265,Затвор со стороны,E2EKA02AA002,дистанционный режим работы,"E2EKA02AA002XL01, E2EKA02AA002XL02, E2EKA02AA002XL03",потенциальный контакт,"220В, 50Гц",ДУ,
