№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
143,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Не открыто,F1HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
144,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Не закрыто,F1HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
145,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Неисправность,F1HHG20AA801XC03,потенциальный контакт,=24В,ПС,
146,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Готовность,F1HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
147,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Не открыто,F1HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
148,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Не закрыто,F1HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
149,Затвор продувной свечи котла ст.№1,F1HHG20AA201,"сигнал ""Открыть"" от УКП",F1HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
150,Затвор продувной свечи котла ст.№1,F1HHG20AA201,"сигнал ""Закрыть"" от УКП",F1HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
151,Затвор продувной свечи котла ст.№1,F1HHG20AA201,"сигнал ""Стоп"" от УКП",F1HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
152,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Не открыто,F2HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
153,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Не закрыто,F2HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
154,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Неисправность,F2HHG20AA801XC03,потенциальный контакт,=24В,ПС,
155,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Готовность,F2HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
156,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Не открыто,F2HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
157,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Не закрыто,F2HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
158,Затвор продувной свечи котла ст.№2,F2HHG20AA201,"сигнал ""Открыть"" от УКП",F2HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
159,Затвор продувной свечи котла ст.№2,F2HHG20AA201,"сигнал ""Закрыть"" от УКП",F2HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
160,Затвор продувной свечи котла ст.№2,F2HHG20AA201,"сигнал ""Стоп"" от УКП",F2HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
161,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Не открыто,F3HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
162,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Не закрыто,F3HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
163,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Неисправность,F3HHG20AA801XC03,потенциальный контакт,=24В,ПС,
164,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Готовность,F3HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
165,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Не открыто,F3HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
166,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Не закрыто,F3HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
167,Затвор продувной свечи котла ст.№3,F3HHG20AA201,"сигнал ""Открыть"" от УКП",F3HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
168,Затвор продувной свечи котла ст.№3,F3HHG20AA201,"сигнал ""Закрыть"" от УКП",F3HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
169,Затвор продувной свечи котла ст.№3,F3HHG20AA201,"сигнал ""Стоп"" от УКП",F3HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
170,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Не открыто,F4HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
171,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Не закрыто,F4HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
172,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Неисправность,F4HHG20AA801XC03,потенциальный контакт,=24В,ПС,
173,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Готовность,F4HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
174,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Не открыто,F4HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
175,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Не закрыто,F4HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
176,Затвор продувной свечи котла ст.№4,F4HHG20AA201,"сигнал ""Открыть"" от УКП",F4HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
177,Затвор продувной свечи котла ст.№4,F4HHG20AA201,"сигнал ""Закрыть"" от УКП",F4HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
178,Затвор продувной свечи котла ст.№4,F4HHG20AA201,"сигнал ""Стоп"" от УКП",F4HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
179,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Не открыто,F5HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
180,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Не закрыто,F5HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
181,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Неисправность,F5HHG20AA801XC03,потенциальный контакт,=24В,ПС,
182,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Готовность,F5HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
183,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Не открыто,F5HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
184,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Не закрыто,F5HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
185,Затвор продувной свечи котла ст.№5,F5HHG20AA201,"сигнал ""Открыть"" от УКП",F5HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
186,Затвор продувной свечи котла ст.№5,F5HHG20AA201,"сигнал ""Закрыть"" от УКП",F5HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
187,Затвор продувной свечи котла ст.№5,F5HHG20AA201,"сигнал ""Стоп"" от УКП",F5HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
188,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Не открыто,F6HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
189,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Не закрыто,F6HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
190,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Неисправность,F6HHG20AA801XC03,потенциальный контакт,=24В,ПС,
191,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Готовность,F6HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
192,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Не открыто,F6HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
193,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Не закрыто,F6HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
194,Затвор продувной свечи котла ст.№6,F6HHG20AA201,"сигнал ""Открыть"" от УКП",F6HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
195,Затвор продувной свечи котла ст.№6,F6HHG20AA201,"сигнал ""Закрыть"" от УКП",F6HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
196,Затвор продувной свечи котла ст.№6,F6HHG20AA201,"сигнал ""Стоп"" от УКП",F6HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
197,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Не открыто,F7HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
198,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Не закрыто,F7HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
199,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Неисправность,F7HHG20AA801XC03,потенциальный контакт,=24В,ПС,
200,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Готовность,F7HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
201,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Не открыто,F7HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
202,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Не закрыто,F7HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
203,Затвор продувной свечи котла ст.№7,F7HHG20AA201,"сигнал ""Открыть"" от УКП",F7HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
204,Затвор продувной свечи котла ст.№7,F7HHG20AA201,"сигнал ""Закрыть"" от УКП",F7HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
205,Затвор продувной свечи котла ст.№7,F7HHG20AA201,"сигнал ""Стоп"" от УКП",F7HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
206,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Не открыто,F8HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
207,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Не закрыто,F8HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
208,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Неисправность,F8HHG20AA801XC03,потенциальный контакт,=24В,ПС,
209,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Готовность,F8HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
210,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Не открыто,F8HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
211,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Не закрыто,F8HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
212,Затвор продувной свечи котла ст.№8,F8HHG20AA201,"сигнал ""Открыть"" от УКП",F8HHG20AA201XL01,потенциальный контакт,"220В, 50Гц",ДУ,
213,Затвор продувной свечи котла ст.№8,F8HHG20AA201,"сигнал ""Закрыть"" от УКП",F8HHG20AA201XL02,потенциальный контакт,"220В, 50Гц",ДУ,
214,Затвор продувной свечи котла ст.№8,F8HHG20AA201,"сигнал ""Стоп"" от УКП",F8HHG20AA201XL03,потенциальный контакт,"220В, 50Гц",ДУ,
215,Задвижка 2-Г,E1EKA01AA001,Открыть,E1EKA01AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
216,Задвижка 2-Г,E1EKA01AA001,Закрыть,E1EKA01AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
217,Задвижка 2-Г,E1EKA01AA001,Стоп,E1EKA01AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
218,Задвижка 3-Г,E1EKG11AA001,Открыть,E1EKG11AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
219,Задвижка 3-Г,E1EKG11AA001,Закрыть,E1EKG11AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
220,Задвижка 3-Г,E1EKG11AA001,Стоп,E1EKG11AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
221,Дисковый затвор ГК-1,E1EKG12AA001,Открыть,E1EKG12AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
222,Дисковый затвор ГК-1,E1EKG12AA001,Закрыть,E1EKG12AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
223,Дисковый затвор ГК-1,E1EKG12AA001,Стоп,E1EKG12AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
224,Регулирующая заслонка №1,E1EKD01AA801,Больше,E1EKD01AA801YC01,сухой контакт,=24В,"АР,ДУ",
225,Регулирующая заслонка №1,E1EKD01AA801,Меньше,E1EKD01AA801YC02,сухой контакт,=24В,"АР,ДУ",
226,Регулирующая заслонка №2,E1EKD02AA801,Больше,E1EKD02AA801YC01,сухой контакт,=24В,"АР,ДУ",
227,Регулирующая заслонка №2,E1EKD02AA801,Меньше,E1EKD02AA801YC02,сухой контакт,=24В,"АР,ДУ",
228,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Больше,E2EKD01AA801YC01,сухой контакт,=24В,"АР,ДУ",
229,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Меньше,E2EKD01AA801YC02,сухой контакт,=24В,"АР,ДУ",
230,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Больше,E2EKD02AA801YC01,сухой контакт,=24В,"АР,ДУ",
231,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Меньше,E2EKD02AA801YC02,сухой контакт,=24В,"АР,ДУ",
232,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Открыть,E2EKD01AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
233,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Закрыть,E2EKD01AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
234,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Стоп,E2EKD01AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
235,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Открыть,E2EKD01AA002YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
236,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Закрыть,E2EKD01AA002YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
237,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Стоп,E2EKD01AA002YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
238,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Открыть,E2EKD02AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
239,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Закрыть,E2EKD02AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
240,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Стоп,E2EKD02AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
241,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Открыть,E2EKD02AA002YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
242,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Закрыть,E2EKD02AA002YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
243,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Стоп,E2EKD02AA002YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
244,Задвижка 2-17Г на байпасе,E2EKG02AA001,Открыть,E2EKG02AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
245,Задвижка 2-17Г на байпасе,E2EKG02AA001,Закрыть,E2EKG02AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
246,Задвижка 2-17Г на байпасе,E2EKG02AA001,Стоп,E2EKG02AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
247,,E2EKA01AA001,Открыть,E2EKA01AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
248,,E2EKA01AA001,Закрыть,E2EKA01AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
249,,E2EKA01AA001,Стоп,E2EKA01AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
250,Задвижка 2-19Г на выходе,E2EKG11AA001,Открыть,E2EKG11AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
251,Задвижка 2-19Г на выходе,E2EKG11AA001,Закрыть,E2EKG11AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
252,Задвижка 2-19Г на выходе,E2EKG11AA001,Стоп,E2EKG11AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
