,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
105,112,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
106,113,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
107,114,Автоматический выключатель,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ПС,
108,115,Не открыто,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
109,116,Не закрыто,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
110,117,превышение момента на открытие,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
111,118,превышение момента на закрытие,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
112,119,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
113,120,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
114,121,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
115,122,Автоматический выключатель,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ПС,
116,123,N1NDC01AA001XB51,Затвор дисковый Т-10 на всасе СН №1,Не открыто,ДУ,
117,124,N1NDC01AA001XB52,Затвор дисковый Т-10 на всасе СН №1,Не закрыто,ДУ,
118,125,N1NDC01AA001XB05,Затвор дисковый Т-10 на всасе СН №1,превышение момента на открытие,ДУ,
119,126,N1NDC01AA001XB06,Затвор дисковый Т-10 на всасе СН №1,превышение момента на закрытие,ДУ,
120,127,N1NDC01AA001XL01,Затвор дисковый Т-10 на всасе СН №1,Дистанционный режим работы,ДУ,
121,130,отключен,Затвор дисковый Т-10 на всасе СН №1,Автоматический выключатель,ПС,
122,131,Не открыто,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
123,132,Не закрыто,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
124,133,превышение момента на открытие,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
125,134,превышение момента на закрытие,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
126,135,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
127,136,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
128,137,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
129,138,Автоматический выключатель,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ПС,
130,139,N1NDC02AA001XB51,Затвор дисковый Т-12 на всасе СН №2,Не открыто,ДУ,
131,140,N1NDC02AA001XB52,Затвор дисковый Т-12 на всасе СН №2,Не закрыто,ДУ,
132,141,N1NDC02AA001XB05,Затвор дисковый Т-12 на всасе СН №2,превышение момента на открытие,ДУ,
133,142,N1NDC02AA001XB06,Затвор дисковый Т-12 на всасе СН №2,превышение момента на закрытие,ДУ,
134,143,N1NDC02AA001XL01,Затвор дисковый Т-12 на всасе СН №2,Дистанционный режим работы,ДУ,
135,146,отключен,Затвор дисковый Т-12 на всасе СН №2,Автоматический выключатель,ПС,
136,147,Не открыто,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
137,148,Не закрыто,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
138,149,превышение момента на открытие,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
139,150,превышение момента на закрытие,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
140,151,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
141,152,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
142,153,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
143,154,Автоматический выключатель,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ПС,
144,155,N1NDC03AA001XB51,Затвор дисковый Т-14 на всасе СН №3,Не открыто,ДУ,
145,156,N1NDC03AA001XB52,Затвор дисковый Т-14 на всасе СН №3,Не закрыто,ДУ,
146,157,N1NDC03AA001XB05,Затвор дисковый Т-14 на всасе СН №3,превышение момента на открытие,ДУ,
147,158,N1NDC03AA001XB06,Затвор дисковый Т-14 на всасе СН №3,превышение момента на закрытие,ДУ,
148,159,N1NDC03AA001XL01,Затвор дисковый Т-14 на всасе СН №3,Дистанционный режим работы,ДУ,
149,162,отключен,Затвор дисковый Т-14 на всасе СН №3,Автоматический выключатель,ПС,
150,163,Не открыто,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
151,164,Не закрыто,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
152,165,превышение момента на открытие,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
153,166,превышение момента на закрытие,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
154,167,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
155,168,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
156,169,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
157,170,Автоматический выключатель,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ПС,
158,171,N1NDC04AA001XB51,Затвор дисковый Т-16 на всасе СН №4,Не открыто,ДУ,
159,172,N1NDC04AA001XB52,Затвор дисковый Т-16 на всасе СН №4,Не закрыто,ДУ,
